id_discharge,formula_pretty,formation_energy_per_atom,volume,density,energy_above_hull,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
mp-865875,Li3Ag,-0.122345376249999,65.6558810228298,3.25480005444337,0,3,47,44,14,16.5,3,1,65,64,17,24,1,6.941,107.8682,100.9272,32.1728,37.8477,6.941,453.69,1234.93,781.24,649,292.965,453.69,1,11,10,3.5,3.75,1,2,5,3,2.75,1.125,2,128,145,17,132.25,6.375,128,0.98,1.93,0.95,1.2175,0.35625,0.98,1,1,0,1,0,1,0,0,0,0,0,0,0,10,10,2.5,3.75,0,0,0,0,0,0,0,1,11,10,3.5,3.75,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,16.33,16.5933333333,0.2633333333,16.527499999975,0.0987499999874997,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,225,229,4,228,1.5,229
mp-2074,Li3Sb,-0.744135469999999,70.0895977825068,3.37802825560115,0.0079774975,3,51,48,15,18,3,1,85,84,22,31.5,1,6.941,121.76,114.819,35.64575,43.057125,6.941,453.69,903.78,450.09,566.2125,168.78375,453.69,1,15,14,4.5,5.25,1,2,5,3,2.75,1.125,2,128,139,11,130.75,4.125,128,0.98,2.05,1.07,1.2475,0.40125,0.98,1,2,1,1.25,0.375,1,0,3,3,0.75,1.125,0,0,10,10,2.5,3.75,0,0,0,0,0,0,0,1,15,14,4.5,5.25,1,0,1,1,0.75,0.375,1,0,3,3,0.75,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.5,0.75,1,16.5933333333,31.56,14.9666666667,20.334999999975,5.6125000000125,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,166,229,63,213.25,23.625,229
mp-22902,LiBi,-0.415156415833333,47.6313585812526,7.52751822947344,0.003396496666663,3,83,80,43,40,3,1,86,85,43.5,42.5,1,6.941,208.9804,202.0394,107.9607,101.0197,6.941,453.69,544.4,90.71,499.045,45.355,453.69,1,15,14,8,7,1,2,6,4,4,2,2,128,148,20,138,10,128,0.98,2.02,1.04,1.5,0.52,0.98,1,2,1,1.5,0.5,1,0,3,3,1.5,1.5,0,0,10,10,5,5,0,0,14,14,7,7,0,1,29,28,15,14,1,0,1,1,0.5,0.5,0,0,3,3,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,1,16.5933333333,32.95,16.3566666667,24.77166666665,8.17833333335,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,120.5,108.5,12
mp-1185231,Li3Ce,0.333634136249999,103.086779150031,2.59243230842039,0.333634136249999,3,58,55,16.75,20.625,3,1,15,14,4.5,5.25,1,6.941,140.116,133.175,40.23475,49.940625,6.941,453.69,1071,617.31,608.0175,231.49125,453.69,1,3,2,1.5,0.75,1,2,6,4,3,1.5,2,128,204,76,147,28.5,128,0.98,1.12,0.14,1.015,0.0525000000000001,0.98,1,2,1,1.25,0.375,1,0,0,0,0,0,0,0,1,1,0.25,0.375,0,0,1,1,0.25,0.375,0,1,4,3,1.75,1.125,1,0,1,1,0.75,0.375,1,0,0,0,0,0,0,0,9,9,2.25,3.375,0,0,13,13,3.25,4.875,0,1,22,21,6.25,7.875,1,16.5933333333,37.24,20.6466666667,21.754999999975,7.7425000000125,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,220.25,13.125,229
mp-975929,Li3Ca,0.046671715,106.898526714626,0.946023231592113,0.061178348958333,3,20,17,7.25,6.375,3,1,7,6,2.5,2.25,1,6.941,40.078,33.137,15.22525,12.426375,6.941,453.69,1115,661.31,619.0175,247.99125,453.69,1,2,1,1.25,0.375,1,2,4,2,2.5,0.75,2,128,176,48,140,18,128,0.98,1,0.02,0.985,0.00750000000000001,0.98,1,2,1,1.25,0.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.25,0.375,1,0,1,1,0.75,0.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.75,0.375,1,16.5933333333,37.77,21.1766666667,21.887499999975,7.9412500000125,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,225,229,4,228,1.5,229
mp-1001581,LiC6,-0.034716359523808,58.6273845371134,2.23771232676254,0.000490129480517,3,6,3,5.57142857142857,0.734693877551021,6,1,77,76,66.1428571428571,18.6122448979592,77,6.941,12.0107,5.0697,11.2864571428571,1.24155918367347,12.0107,453.69,3823,3369.31,3341.67,825.137142857143,3823,1,14,13,12.1428571428571,3.18367346938776,14,2,2,0,2,0,2,76,128,52,83.4285714285714,12.734693877551,76,0.98,2.55,1.57,2.32571428571429,0.384489795918368,2.55,1,2,1,1.85714285714286,0.244897959183673,2,0,2,2,1.71428571428571,0.489795918367347,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3.57142857142857,0.73469387755102,4,0,1,1,0.142857142857143,0.244897959183673,0,0,4,4,3.42857142857143,0.979591836734694,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3.57142857142857,0.73469387755102,4,5.64,16.5933333333,10.9533333333,7.20476190475714,2.68244897958367,5.64,0,4.496,4.496,3.85371428571429,1.1010612244898,4.496,0,0,0,0,0,0,194,229,35,199,8.57142857142857,194
mp-1198729,Li22Sn5,-0.330998845771604,1918.73542456875,2.58332771399558,0.010069883333333,3,50,47,11.7037037037037,14.1838134430727,3,1,80,79,15.6296296296296,23.840877914952,1,6.941,118.71,111.769,27.638962962963,33.7300137174211,6.941,453.69,505.08,51.39,463.206666666667,15.5086419753086,453.69,1,14,13,3.40740740740741,3.92318244170096,1,2,5,3,2.55555555555556,0.905349794238683,2,128,139,11,130.037037037037,3.31961591220851,128,0.98,1.96,0.98,1.16148148148148,0.295747599451303,0.98,1,2,1,1.18518518518519,0.301783264746228,1,0,2,2,0.37037037037037,0.603566529492456,0,0,10,10,1.85185185185185,3.01783264746228,0,0,0,0,0,0,0,1,14,13,3.40740740740741,3.92318244170096,1,0,1,1,0.814814814814815,0.301783264746228,1,0,4,4,0.740740740740741,1.20713305898491,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.55555555555556,0.905349794238683,1,16.5933333333,33.285,16.6916666667,19.6843827160222,5.03726566073251,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,141,229,88,212.703703703704,26.556927297668,229
mp-1185265,Li3Sn,-0.385153931249999,70.0517425604049,3.30755508872753,0,3,50,47,14.75,17.625,3,1,80,79,20.75,29.625,1,6.941,118.71,111.769,34.88325,41.913375,6.941,453.69,505.08,51.39,466.5375,19.27125,453.69,1,14,13,4.25,4.875,1,2,5,3,2.75,1.125,2,128,139,11,130.75,4.125,128,0.98,1.96,0.98,1.225,0.3675,0.98,1,2,1,1.25,0.375,1,0,2,2,0.5,0.75,0,0,10,10,2.5,3.75,0,0,0,0,0,0,0,1,14,13,4.25,4.875,1,0,1,1,0.75,0.375,1,0,4,4,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.75,1.125,1,16.5933333333,33.285,16.6916666667,20.766249999975,6.2593750000125,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,141,229,88,207,33,229
mp-7955,Li3Sb,-0.7521129675,156.978033049964,3.01653214953545,0,3,51,48,15,18,3,1,85,84,22,31.5,1,6.941,121.76,114.819,35.64575,43.057125,6.941,453.69,903.78,450.09,566.2125,168.78375,453.69,1,15,14,4.5,5.25,1,2,5,3,2.75,1.125,2,128,139,11,130.75,4.125,128,0.98,2.05,1.07,1.2475,0.40125,0.98,1,2,1,1.25,0.375,1,0,3,3,0.75,1.125,0,0,10,10,2.5,3.75,0,0,0,0,0,0,0,1,15,14,4.5,5.25,1,0,1,1,0.75,0.375,1,0,3,3,0.75,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.5,0.75,1,16.5933333333,31.56,14.9666666667,20.334999999975,5.6125000000125,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,166,229,63,213.25,23.625,229
mp-1185185,Li3Cr,0.406402214999999,73.2989050079535,1.64966939590068,0.406402214999999,3,24,21,8.25,7.875,3,1,49,48,13,18,1,6.941,51.9961,45.0551,18.204775,16.8956625,6.941,453.69,2180,1726.31,885.2675,647.36625,453.69,1,6,5,2.25,1.875,1,2,4,2,2.5,0.75,2,128,139,11,130.75,4.125,128,0.98,1.66,0.68,1.15,0.255,0.98,1,1,0,1,0,1,0,0,0,0,0,0,0,5,5,1.25,1.875,0,0,0,0,0,0,0,1,6,5,2.25,1.875,1,1,1,0,1,0,1,0,0,0,0,0,0,0,5,5,1.25,1.875,0,0,0,0,0,0,0,1,6,5,2.25,1.875,1,11.19,16.5933333333,5.4033333333,15.242499999975,2.0262499999875,16.5933333333,0,0,0,0,0,0,0,0,0,0,0,0,229,229,0,229,0,229
